GVKEY,LIID,datadate,fyear,conm,adrr,fic
015520,01,19900131,1989,SIGNET JEWELERS LTD,3.0000,BMU
015520,01,19910131,1990,SIGNET JEWELERS LTD,3.0000,BMU
015521,01,19900131,1989,STAPLES INC,,USA
015521,01,19910131,1990,STAPLES INC,,USA
015707,01,19900331,1989,SAFETECH INDUSTRIES INC,,USA
015707,01,19910331,1990,SAFETECH INDUSTRIES INC,,USA
015708,01,19901231,1990,ALLERGAN INC,,USA
015708,01,19911231,1991,ALLERGAN INC,,USA
015709,01,19901231,1990,PLUM CREEK TIMBER CO INC,,USA
015709,01,19911231,1991,PLUM CREEK TIMBER CO INC,,USA
015710,01,19901231,1990,SMITHS FOOD & DRUG  -CL B,,USA
015710,01,19911231,1991,SMITHS FOOD & DRUG  -CL B,,USA
015711,01,19901231,1990,WEIRTON STEEL CORP,,USA
015711,01,19911231,1991,WEIRTON STEEL CORP,,USA
015712,01,19901231,1990,PLM EQUIPMENT GROWTH FD  -LP,,USA
015712,01,19911231,1991,PLM EQUIPMENT GROWTH FD  -LP,,USA
015713,01,19911231,1991,PLM EQUIP GROWTH FD V  -LP,,USA
015714,01,19901231,1990,PLM EQUIP GROWTH FD II  -LP,,USA
015714,01,19911231,1991,PLM EQUIP GROWTH FD II  -LP,,USA
015758,01,19900930,1990,4-D NEUROIMAGING,,USA
015758,01,19910930,1991,4-D NEUROIMAGING,,USA
015759,01,19901231,1990,GRACE ENERGY CORP,,USA
015759,01,19911231,1991,GRACE ENERGY CORP,,USA
015760,01,19901231,1990,OGDEN PROJECTS INC,,USA
015760,01,19911231,1991,OGDEN PROJECTS INC,,USA
015761,01,19900630,1990,SMITH CORONA CORP,,USA
015761,01,19910630,1991,SMITH CORONA CORP,,USA
015763,01,19901130,1990,VIVRA INC,,USA
015763,01,19911130,1991,VIVRA INC,,USA
015792,01,19900831,1990,SPORTS-TECH INTERNATIONAL,,USA
015792,01,19910831,1991,SPORTS-TECH INTERNATIONAL,,USA
015798,01,19901231,1990,ALLION HEALTHCARE INC,,USA
015798,01,19911231,1991,ALLION HEALTHCARE INC,,USA
015799,01,19901231,1990,DOCUCON INC,,USA
015799,01,19911231,1991,DOCUCON INC,,USA
015800,01,19901231,1990,DIAMONDHEAD CASINO CORP,,USA
015800,01,19911231,1991,DIAMONDHEAD CASINO CORP,,USA
015802,01,19901231,1990,SKYTEL COMMUNICATIONS INC,,USA
015802,01,19911231,1991,SKYTEL COMMUNICATIONS INC,,USA
015822,01,19901231,1990,NEW HORIZONS WORLDWIDE INC,,USA
015822,01,19911231,1991,NEW HORIZONS WORLDWIDE INC,,USA
015824,01,19901231,1990,HERITAGE GLOBAL INC,,USA
015848,01,19900331,1989,ALLOU HEALTHCARE INC,,USA
015848,01,19910331,1990,ALLOU HEALTHCARE INC,,USA
015849,01,19901231,1990,AMERICONNECT INC,,USA
015851,01,19901231,1990,CHEMPOWER INC,,USA
015851,01,19911231,1991,CHEMPOWER INC,,USA
015852,01,19901231,1990,MEDICAL INNOVATIONS INC,,USA
