q_Imp_sw,q_Imp_aw,qAdj_Imp_sw,qAdj_Imp_aw,xv_sw,xv_aw,xvAdj_sw,xvAdj_aw,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt,datadate,fyear,tic,conm,adrr,pddur,upd,at,capx,ceq,csho,gdwl,oiadp,sale,cik,fic,sich,prcc_f,datadate_int,dyear,dmonth,dday,saleSUM,iaSUM,nseg,MS,SIC_4dig,SIC_3dig,SIC_2dig,SIC_1dig,gdwl_orig,capx_orig,at_MV,atAdj,atAdj_MV,q_Obs,qAdj_Obs,log_at,log_atAdj,ebit2sale,capx2sale,dyear_fac
NA,NA,NA,NA,NA,NA,NA,NA,2342,P,1,LU,60898,614,19730131,E,2017-06-30,2017,BWL.A,BOWL AMERICA INC  -CL A,NA,12,3,29.626,0.326,24.586,5.161,0,3.262,23.933,13573,USA,7900,14.3135,20170630,2017,6,30,23.933,29.626,1,0,7900,790,79,7,0,0.326,78.9119735,29.626,78.9119735,2.6636053972861675,2.6636053972861675,3.3886523541598605,3.3886523541598605,0.13629716291313249,0.013621359628964193,2017
NA,NA,NA,NA,NA,NA,NA,NA,2342,P,1,LU,60898,614,19730131,E,2018-06-30,2018,BWL.A,BOWL AMERICA INC  -CL A,NA,12,3,28.909,0.787,24.484,5.161,0,4.018,24.771,13573,USA,7900,15.0952,20180630,2018,6,30,24.771,28.909,1,0,7900,790,79,7,0,0.787,82.33132719999999,28.909,82.33132719999999,2.8479479470061224,2.8479479470061224,3.364152965322774,3.364152965322774,0.16220580517540673,0.03177102256671108,2018
3.2920940132255634,3.2920940132255634,3.5911340762857744,3.5911340762857744,0.09844841353773695,0.09844841353773695,0.18239995269300655,0.18239995269300655,2403,P,1,LU,19393,20331,19620131,E,2017-12-31,2017,BMY,BRISTOL-MYERS SQUIBB CO,NA,12,3,33551,1055,11741,1633,6863,4220,20776,14272,USA,2834,61.28,20171231,2017,12,31,20776,33551,1,0,2834,283,28,2,6863,1055,121880.24,26688,115017.24,3.632685761974308,4.309698741007194,10.420821948214945,10.191969305158473,0.20311898344243356,0.05077974586060839,2017
2.5147589237515273,2.5147589237515273,2.5147589237515273,2.5147589237515273,0.18429666355953445,0.18429666355953445,0.32737059257971585,0.32737059257971585,2403,P,1,LU,19393,20331,19620131,E,2018-12-31,2018,BMY,BRISTOL-MYERS SQUIBB CO,NA,12,3,34986,951,14031,1632,6538,5238,22561,14272,USA,2834,51.98,20181231,2018,12,31,22561,34986,1,0,2834,283,28,2,6538,951,105786.36,28448,99248.36,3.023676899331161,3.4887640607424073,10.46270326045021,10.255833138313632,0.23217055981561102,0.04215238686228447,2018
4.394327121405164,4.394327121405164,4.757902914078277,4.757902914078277,0.05299866445773484,0.05299866445773484,0.11544135374424928,0.11544135374424928,2435,P,1,LU,29946,20340,19620702,E,2017-04-30,2016,BF.B,BROWN FORMAN CORP,NA,12,3,4625,115,1370,384.086,753,971,2994,14693,USA,2085,47.32,20170430,2017,4,30,2994,4625,1,0,2085,208,20,2,753,115,21429.949520000002,3872,20676.949520000002,4.633502598918919,5.340121260330579,8.439231649946526,8.261526448396468,0.324315297261189,0.038410153640614564,2017
5.981676467566896,5.981676467566896,6.091031128768432,6.091031128768432,0.028172524796021444,0.028172524796021444,0.1512693906882431,0.1512693906882431,2435,P,1,LU,29946,20340,19620702,E,2018-04-30,2017,BF.B,BROWN FORMAN CORP,NA,12,3,4976,128,1316,481.001,763,1093,3248,14693,USA,2085,56.04,20180430,2018,4,30,3248,4976,1,0,2085,208,20,2,763,128,30615.296039999997,4213,29852.296039999997,6.152591647909968,7.08575742701163,8.512381634419015,8.345930261979017,0.33651477832512317,0.03940886699507389,2018
NA,NA,NA,NA,NA,NA,NA,NA,2556,P,1,LU,67838,20362,19850930,E,2017-03-31,2016,CSS,CSS INDUSTRIES INC,NA,12,3,339.194,4.957,294.154,9.087,19.916,18.779,322.431,20629,USA,2670,25.92,20170331,2017,3,31,322.431,339.194,1,0,2670,267,26,2,19.916,4.957,280.57504000000006,319.278,260.65904,0.8271816128823035,0.8164015058976816,5.826572215082056,5.766062196626647,0.05824191842595781,0.01537383192062798,2017
NA,NA,NA,NA,NA,NA,NA,NA,2556,P,1,LU,67838,20362,19850930,E,2018-03-31,2017,CSS,CSS INDUSTRIES INC,NA,12,3,365.188,7.291,253.695,9.12,0,13.824,361.896,20629,USA,2670,17.5,20180331,2018,3,31,361.896,365.188,1,0,2670,267,26,2,0,7.291,271.09299999999996,365.188,271.09299999999996,0.7423381929307643,0.7423381929307643,5.900412289473397,5.900412289473397,0.03819881955036806,0.020146671972058272,2018
1.4408135791813204,1.4408135791813204,NA,NA,0.306826227812804,0.306826227812804,NA,NA,2574,P,1,LC,62148,20370,19801113,E,2017-12-31,2017,CSX,CSX CORP,NA,12,3,35739,2040,14705,889.851,63,3700,11408,277948,USA,4011,55.01,20171231,2017,12,31,11408,35739,1,0,4011,401,40,4,63,2040,69984.70350999999,35676,69921.70350999999,1.95821661238423,1.959908720428299,10.483997808467471,10.482233472786097,0.32433380084151475,0.1788218793828892,2017
1.2788494560022978,1.2788494560022978,NA,NA,0.46795431387538233,0.46795431387538233,NA,NA,2574,P,1,LC,62148,20370,19801113,E,2018-12-31,2018,CSX,CSX CORP,NA,12,3,36729,1745,12563,818.18,0,4773,12250,277948,USA,4011,62.13,20181231,2018,12,31,12250,36729,1,0,4011,401,40,4,0,1745,74999.5234,36729,74999.5234,2.041970197936236,2.041970197936236,10.511321912742025,10.511321912742025,0.38963265306122447,0.14244897959183672,2018
